country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",03-08-2024 20:00:00,16.5150833,80.5181667,NO2,3,356,21
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",03-08-2024 20:00:00,16.5150833,80.5181667,CO,18,46,28
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",03-08-2024 20:00:00,16.5150833,80.5181667,OZONE,4,27,18
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",03-08-2024 20:00:00,14.675886,77.593027,OZONE,1,12,8
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",03-08-2024 20:00:00,14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",03-08-2024 20:00:00,14.465052,78.824187,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",03-08-2024 20:00:00,16.9872867,81.7363176,NH3,1,5,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",03-08-2024 20:00:00,13.615387,79.409230,PM2.5,12,348,66
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",03-08-2024 20:00:00,13.615387,79.409230,NH3,2,3,2
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",03-08-2024 20:00:00,16.554731,80.649110,NH3,1,2,2
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",03-08-2024 20:00:00,17.72,83.3,SO2,5,13,9
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",03-08-2024 20:00:00,26.071318,91.87488,OZONE,18,32,27
India,Assam,Guwahati,"IITG, Guwahati - PCBA",03-08-2024 20:00:00,26.2028636,91.70046436,PM10,9,39,22
India,Assam,Guwahati,"IITG, Guwahati - PCBA",03-08-2024 20:00:00,26.2028636,91.70046436,NO2,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA",03-08-2024 20:00:00,26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",03-08-2024 20:00:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",03-08-2024 20:00:00,26.181742,91.78063,OZONE,3,9,5
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",03-08-2024 20:00:00,26.349082,92.68449,NH3,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",03-08-2024 20:00:00,26.446912,91.439057,OZONE,13,18,16
India,Assam,Silchar,"Tarapur, Silchar - PCBA",03-08-2024 20:00:00,24.82827,92.79525,NO2,9,9,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",03-08-2024 20:00:00,26.987634,94.636574,PM2.5,40,84,50
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",03-08-2024 20:00:00,26.987634,94.636574,PM10,54,67,61
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",03-08-2024 20:00:00,26.987634,94.636574,CO,20,23,22
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-08-2024 20:00:00,26.146529,87.454184,PM2.5,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-08-2024 20:00:00,26.146529,87.454184,PM10,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-08-2024 20:00:00,26.146529,87.454184,NO2,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-08-2024 20:00:00,26.146529,87.454184,NH3,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",03-08-2024 20:00:00,26.146529,87.454184,SO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",03-08-2024 20:00:00,24.75746,84.366208,NO2,11,11,11
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",03-08-2024 20:00:00,24.75746,84.366208,NH3,3,3,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",03-08-2024 20:00:00,25.251013,86.989001,NO2,15,32,26
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",03-08-2024 20:00:00,25.251013,86.989001,SO2,2,84,46
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",03-08-2024 20:00:00,25.265194,87.012947,SO2,17,33,27
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",03-08-2024 20:00:00,25.265194,87.012947,CO,22,64,54
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",03-08-2024 20:00:00,25.204762,85.514960,NO2,10,32,22
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",03-08-2024 20:00:00,25.204762,85.514960,SO2,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",03-08-2024 20:00:00,25.204762,85.514960,OZONE,28,30,30
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",03-08-2024 20:00:00,25.567520,83.966379,CO,26,51,43
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",03-08-2024 20:00:00,24.792403,84.992416,PM10,1,206,43
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",03-08-2024 20:00:00,24.792403,84.992416,CO,18,44,32
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",03-08-2024 20:00:00,24.762518,84.982348,PM10,7,21,15
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",03-08-2024 20:00:00,24.762518,84.982348,NO2,6,16,11
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",03-08-2024 20:00:00,25.697189,85.245900,PM2.5,26,53,35
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",03-08-2024 20:00:00,25.697189,85.245900,OZONE,47,83,62
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",03-08-2024 20:00:00,25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",03-08-2024 20:00:00,25.560083,87.553265,NH3,1,3,2
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",03-08-2024 20:00:00,25.560083,87.553265,CO,34,36,36
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",03-08-2024 20:00:00,25.560083,87.553265,OZONE,4,4,4
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",03-08-2024 20:00:00,26.0881305,87.93840336,PM10,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",03-08-2024 20:00:00,27.308328,84.531742,NO2,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",03-08-2024 20:00:00,27.308328,84.531742,NH3,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",03-08-2024 20:00:00,26.63086,84.90051,NH3,1,8,5
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",03-08-2024 20:00:00,26.63086,84.90051,SO2,1,54,28
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",03-08-2024 20:00:00,26.63086,84.90051,CO,42,69,49
India,Bihar,Munger,"Town Hall, Munger - BSPCB",03-08-2024 20:00:00,25.376776,86.471523,PM10,4,29,13
