country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",04-04-2024 13:00:00,16.5150833,80.5181667,CO,2,38,18
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",04-04-2024 13:00:00,13.204880,79.097889,PM2.5,11,362,112
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",04-04-2024 13:00:00,13.204880,79.097889,PM10,14,304,92
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",04-04-2024 13:00:00,13.204880,79.097889,SO2,4,91,16
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",04-04-2024 13:00:00,16.9872867,81.7363176,SO2,11,12,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",04-04-2024 13:00:00,16.9872867,81.7363176,CO,2,33,27
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",04-04-2024 13:00:00,13.67,79.35,PM10,20,88,48
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",04-04-2024 13:00:00,13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",04-04-2024 13:00:00,13.615387,79.409230,NH3,2,4,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",04-04-2024 13:00:00,13.615387,79.409230,CO,5,15,11
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",04-04-2024 13:00:00,16.486692,80.699436,CO,38,78,56
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",04-04-2024 13:00:00,16.509717,80.612222,PM10,27,65,47
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",04-04-2024 13:00:00,16.509717,80.612222,CO,42,46,44
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-04-2024 13:00:00,17.72,83.3,PM2.5,13,87,49
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-04-2024 13:00:00,17.72,83.3,NH3,2,5,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",04-04-2024 13:00:00,17.72,83.3,CO,14,80,28
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",04-04-2024 13:00:00,26.071318,91.87488,NO2,23,133,69
India,Assam,Guwahati,"IITG, Guwahati - PCBA",04-04-2024 13:00:00,26.2028636,91.70046436,CO,9,12,10
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",04-04-2024 13:00:00,26.10887,91.589544,SO2,3,16,12
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",04-04-2024 13:00:00,26.187500,91.744194,NH3,3,6,4
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",04-04-2024 13:00:00,26.187500,91.744194,OZONE,17,17,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",04-04-2024 13:00:00,26.181742,91.78063,PM10,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",04-04-2024 13:00:00,26.181742,91.78063,SO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",04-04-2024 13:00:00,26.349082,92.68449,PM2.5,48,180,81
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",04-04-2024 13:00:00,26.349082,92.68449,NO2,3,16,8
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",04-04-2024 13:00:00,26.349082,92.68449,CO,44,68,49
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",04-04-2024 13:00:00,26.349082,92.68449,OZONE,34,100,68
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",04-04-2024 13:00:00,26.446912,91.439057,PM2.5,33,117,59
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",04-04-2024 13:00:00,26.446912,91.439057,NO2,10,53,16
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",04-04-2024 13:00:00,26.446912,91.439057,SO2,1,5,2
India,Assam,Silchar,"Tarapur, Silchar - PCBA",04-04-2024 13:00:00,24.82827,92.79525,CO,34,60,38
India,Assam,Silchar,"Tarapur, Silchar - PCBA",04-04-2024 13:00:00,24.82827,92.79525,OZONE,1,14,3
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",04-04-2024 13:00:00,26.987634,94.636574,OZONE,1,35,3
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",04-04-2024 13:00:00,26.146529,87.454184,OZONE,6,13,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",04-04-2024 13:00:00,25.5626095,84.663264,PM2.5,37,223,78
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",04-04-2024 13:00:00,25.5626095,84.663264,OZONE,12,59,16
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",04-04-2024 13:00:00,24.75746,84.366208,SO2,5,9,6
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",04-04-2024 13:00:00,24.75746,84.366208,CO,16,88,67
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",04-04-2024 13:00:00,26.80365,84.51954,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",04-04-2024 13:00:00,25.251013,86.989001,NO2,51,107,78
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",04-04-2024 13:00:00,25.204762,85.514960,NO2,8,11,10
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",04-04-2024 13:00:00,25.204762,85.514960,SO2,2,13,7
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",04-04-2024 13:00:00,25.567520,83.966379,SO2,6,30,19
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",04-04-2024 13:00:00,25.7808257,84.7446768,OZONE,1,4,2
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",04-04-2024 13:00:00,24.792403,84.992416,PM2.5,7,253,82
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",04-04-2024 13:00:00,25.697189,85.245900,PM2.5,49,103,74
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",04-04-2024 13:00:00,25.697189,85.245900,OZONE,1,78,35
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",04-04-2024 13:00:00,27.308328,84.531742,NO2,12,25,15
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",04-04-2024 13:00:00,26.63086,84.90051,PM2.5,25,78,50
India,Bihar,Munger,"Town Hall, Munger - BSPCB",04-04-2024 13:00:00,25.376776,86.471523,NO2,8,9,9
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.11442,85.39813,PM2.5,131,293,227
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.11442,85.39813,PM10,126,194,166
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.11442,85.39813,SO2,10,25,16
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.11442,85.39813,CO,14,75,35
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.1403345,85.3650192,NO2,5,8,7
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",04-04-2024 13:00:00,26.1209,85.3647,OZONE,39,126,50
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",04-04-2024 13:00:00,25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",04-04-2024 13:00:00,25.592539,85.227158,CO,22,64,47
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",04-04-2024 13:00:00,25.610369,85.132568,CO,12,14,13
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",04-04-2024 13:00:00,25.610369,85.132568,OZONE,21,41,36
India,Bihar,Patna,"Muradpur, Patna - BSPCB",04-04-2024 13:00:00,25.619651,85.147382,PM2.5,119,366,296
India,Bihar,Patna,"Muradpur, Patna - BSPCB",04-04-2024 13:00:00,25.619651,85.147382,NH3,2,5,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB",04-04-2024 13:00:00,25.619651,85.147382,SO2,9,16,12
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",04-04-2024 13:00:00,25.599486,85.113666,NO2,22,44,30
India,Bihar,Patna,"Samanpura, Patna - BSPCB",04-04-2024 13:00:00,25.596727,85.085624,CO,26,122,77
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",04-04-2024 13:00:00,25.366336,87.117468,NH3,2,2,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",04-04-2024 13:00:00,25.366336,87.117468,SO2,5,13,8
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",04-04-2024 13:00:00,25.366336,87.117468,OZONE,5,18,11
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",04-04-2024 13:00:00,25.03280,85.41948,PM2.5,18,58,33
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",04-04-2024 13:00:00,25.859655,85.77944,NH3,4,5,4
