country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",09-05-2024 20:00:00,16.5150833,80.5181667,PM10,10,96,34
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",09-05-2024 20:00:00,16.5150833,80.5181667,NO2,4,16,8
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",09-05-2024 20:00:00,16.5150833,80.5181667,OZONE,2,42,30
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",09-05-2024 20:00:00,13.204880,79.097889,PM10,20,135,75
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",09-05-2024 20:00:00,13.204880,79.097889,NO2,1,13,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-05-2024 20:00:00,14.465052,78.824187,NO2,12,13,12
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",09-05-2024 20:00:00,14.465052,78.824187,CO,8,18,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",09-05-2024 20:00:00,16.9872867,81.7363176,CO,2,29,22
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",09-05-2024 20:00:00,13.615387,79.409230,NH3,2,3,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",09-05-2024 20:00:00,13.615387,79.409230,OZONE,2,20,15
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",09-05-2024 20:00:00,16.536107,80.594233,NH3,4,4,4
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",09-05-2024 20:00:00,16.486692,80.699436,CO,39,39,39
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-05-2024 20:00:00,16.509717,80.612222,PM10,31,84,57
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",09-05-2024 20:00:00,16.509717,80.612222,NH3,4,6,5
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",09-05-2024 20:00:00,17.72,83.3,NH3,2,7,4
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-05-2024 20:00:00,27.103358,93.679645,PM2.5,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-05-2024 20:00:00,27.103358,93.679645,SO2,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",09-05-2024 20:00:00,27.103358,93.679645,CO,13,17,15
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",09-05-2024 20:00:00,26.071318,91.87488,PM10,26,401,154
India,Assam,Guwahati,"IITG, Guwahati - PCBA",09-05-2024 20:00:00,26.2028636,91.70046436,OZONE,3,42,33
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-05-2024 20:00:00,26.187500,91.744194,NH3,2,3,3
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",09-05-2024 20:00:00,26.187500,91.744194,OZONE,16,17,17
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",09-05-2024 20:00:00,26.181742,91.78063,SO2,7,13,10
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",09-05-2024 20:00:00,26.181742,91.78063,CO,11,66,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",09-05-2024 20:00:00,26.446912,91.439057,NH3,1,1,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA",09-05-2024 20:00:00,24.82827,92.79525,PM2.5,30,42,35
India,Assam,Silchar,"Tarapur, Silchar - PCBA",09-05-2024 20:00:00,24.82827,92.79525,PM10,45,74,59
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",09-05-2024 20:00:00,26.987634,94.636574,NO2,9,24,16
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",09-05-2024 20:00:00,26.146529,87.454184,CO,13,32,26
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",09-05-2024 20:00:00,25.5626095,84.663264,NO2,1,6,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",09-05-2024 20:00:00,25.5626095,84.663264,SO2,2,62,24
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",09-05-2024 20:00:00,25.5626095,84.663264,OZONE,5,147,21
