country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",10-06-2024 00:00:00,16.5150833,80.5181667,CO,8,42,27
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",10-06-2024 00:00:00,14.675886,77.593027,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",10-06-2024 00:00:00,14.675886,77.593027,NH3,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",10-06-2024 00:00:00,14.675886,77.593027,OZONE,8,24,19
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",10-06-2024 00:00:00,13.204880,79.097889,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",10-06-2024 00:00:00,13.67,79.35,PM10,16,70,34
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",10-06-2024 00:00:00,13.67,79.35,NO2,15,27,21
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",10-06-2024 00:00:00,13.615387,79.409230,CO,8,14,11
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",10-06-2024 00:00:00,16.536107,80.594233,OZONE,19,30,25
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",10-06-2024 00:00:00,16.486692,80.699436,PM2.5,36,46,41
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",10-06-2024 00:00:00,16.509717,80.612222,OZONE,29,53,40
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",10-06-2024 00:00:00,16.554731,80.649110,PM10,53,75,55
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",10-06-2024 00:00:00,16.554731,80.649110,SO2,16,20,17
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",10-06-2024 00:00:00,17.72,83.3,PM2.5,29,67,45
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",10-06-2024 00:00:00,17.72,83.3,PM10,60,135,97
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",10-06-2024 00:00:00,17.72,83.3,OZONE,10,24,14
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",10-06-2024 00:00:00,27.103358,93.679645,PM10,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",10-06-2024 00:00:00,26.071318,91.87488,PM10,36,304,136
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",10-06-2024 00:00:00,26.071318,91.87488,NH3,18,21,19
India,Assam,Guwahati,"IITG, Guwahati - PCBA",10-06-2024 00:00:00,26.2028636,91.70046436,OZONE,4,32,20
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",10-06-2024 00:00:00,26.10887,91.589544,PM2.5,13,375,98
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",10-06-2024 00:00:00,26.181742,91.78063,OZONE,1,11,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",10-06-2024 00:00:00,26.446912,91.439057,PM10,10,189,72
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",10-06-2024 00:00:00,26.446912,91.439057,NO2,15,30,22
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",10-06-2024 00:00:00,26.987634,94.636574,SO2,5,28,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",10-06-2024 00:00:00,26.987634,94.636574,CO,4,14,8
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",10-06-2024 00:00:00,25.5626095,84.663264,PM2.5,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",10-06-2024 00:00:00,25.5626095,84.663264,PM10,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",10-06-2024 00:00:00,25.5626095,84.663264,CO,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",10-06-2024 00:00:00,24.75746,84.366208,PM10,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",10-06-2024 00:00:00,24.75746,84.366208,NO2,3,19,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",10-06-2024 00:00:00,24.75746,84.366208,NH3,4,28,14
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",10-06-2024 00:00:00,24.75746,84.366208,OZONE,26,103,54
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",10-06-2024 00:00:00,25.251013,86.989001,NH3,3,6,4
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",10-06-2024 00:00:00,25.251013,86.989001,CO,30,84,65
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",10-06-2024 00:00:00,25.251013,86.989001,OZONE,41,48,46
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",10-06-2024 00:00:00,25.204762,85.514960,SO2,2,3,3
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",10-06-2024 00:00:00,25.204762,85.514960,CO,22,29,28
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",10-06-2024 00:00:00,25.567520,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",10-06-2024 00:00:00,25.567520,83.966379,CO,34,104,61
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",10-06-2024 00:00:00,25.7808257,84.7446768,OZONE,1,8,2
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",10-06-2024 00:00:00,24.7955,84.9994,PM2.5,30,158,77
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",10-06-2024 00:00:00,24.7955,84.9994,CO,46,118,73
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",10-06-2024 00:00:00,24.762518,84.982348,PM2.5,54,215,141
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",10-06-2024 00:00:00,25.697189,85.245900,SO2,5,6,6
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",10-06-2024 00:00:00,25.697189,85.245900,CO,27,40,33
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",10-06-2024 00:00:00,25.560083,87.553265,PM2.5,NA,NA,NA
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",10-06-2024 00:00:00,25.560083,87.553265,PM10,54,154,92
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",10-06-2024 00:00:00,25.560083,87.553265,OZONE,4,10,4
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",10-06-2024 00:00:00,26.0881305,87.93840336,PM2.5,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",10-06-2024 00:00:00,26.0881305,87.93840336,OZONE,18,32,22
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",10-06-2024 00:00:00,26.63086,84.90051,NO2,11,44,20
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",10-06-2024 00:00:00,26.63086,84.90051,CO,2,60,31
India,Bihar,Munger,"Town Hall, Munger - BSPCB",10-06-2024 00:00:00,25.376776,86.471523,SO2,19,35,26
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",10-06-2024 00:00:00,26.1403345,85.3650192,CO,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",10-06-2024 00:00:00,26.1209,85.3647,SO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",10-06-2024 00:00:00,26.1209,85.3647,OZONE,121,122,121
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",10-06-2024 00:00:00,25.586562,85.043586,SO2,1,9,3
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",10-06-2024 00:00:00,25.592539,85.227158,PM2.5,56,273,140
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",10-06-2024 00:00:00,25.592539,85.227158,PM10,97,237,150
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",10-06-2024 00:00:00,25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",10-06-2024 00:00:00,25.610369,85.132568,NO2,13,13,13
India,Bihar,Patna,"Muradpur, Patna - BSPCB",10-06-2024 00:00:00,25.619651,85.147382,SO2,4,12,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB",10-06-2024 00:00:00,25.619651,85.147382,OZONE,5,62,27
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",10-06-2024 00:00:00,25.599486,85.113666,NO2,8,42,18
India,Bihar,Patna,"Samanpura, Patna - BSPCB",10-06-2024 00:00:00,25.596727,85.085624,NO2,7,25,12
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",10-06-2024 00:00:00,25.03280,85.41948,SO2,4,5,4
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",10-06-2024 00:00:00,25.859655,85.77944,PM2.5,3,25,11
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",10-06-2024 00:00:00,24.952822,84.002396,PM10,32,106,72
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",10-06-2024 00:00:00,26.2271665,84.3570427,OZONE,15,108,64
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",10-06-2024 00:00:00,30.735567,76.775714,CO,28,46,36
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",10-06-2024 00:00:00,30.751462,76.762879,OZONE,13,58,28
