country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",29-04-2024 04:00:00,16.5150833,80.5181667,CO,2,67,24
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-04-2024 04:00:00,14.675886,77.593027,NO2,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-04-2024 04:00:00,14.675886,77.593027,SO2,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",29-04-2024 04:00:00,14.675886,77.593027,OZONE,28,68,39
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",29-04-2024 04:00:00,13.204880,79.097889,NO2,1,15,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",29-04-2024 04:00:00,14.465052,78.824187,NO2,NA,NA,NA
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",29-04-2024 04:00:00,13.67,79.35,PM10,14,102,53
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",29-04-2024 04:00:00,16.486692,80.699436,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",29-04-2024 04:00:00,16.486692,80.699436,OZONE,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-04-2024 04:00:00,16.509717,80.612222,PM2.5,44,99,68
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",29-04-2024 04:00:00,16.509717,80.612222,NO2,37,52,43
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",29-04-2024 04:00:00,17.72,83.3,SO2,9,15,12
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-04-2024 04:00:00,26.071318,91.87488,NO2,36,90,65
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-04-2024 04:00:00,26.071318,91.87488,NH3,8,11,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",29-04-2024 04:00:00,26.071318,91.87488,SO2,6,13,10
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-04-2024 04:00:00,26.2028636,91.70046436,SO2,11,13,12
India,Assam,Guwahati,"IITG, Guwahati - PCBA",29-04-2024 04:00:00,26.2028636,91.70046436,OZONE,10,36,32
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-04-2024 04:00:00,26.10887,91.589544,PM10,24,186,107
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-04-2024 04:00:00,26.10887,91.589544,NO2,29,75,52
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",29-04-2024 04:00:00,26.10887,91.589544,OZONE,4,17,11
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-04-2024 04:00:00,26.187500,91.744194,PM10,19,196,68
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",29-04-2024 04:00:00,26.187500,91.744194,NO2,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",29-04-2024 04:00:00,26.181742,91.78063,OZONE,2,30,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-04-2024 04:00:00,24.82827,92.79525,PM2.5,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",29-04-2024 04:00:00,24.82827,92.79525,CO,29,54,38
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-04-2024 04:00:00,26.987634,94.636574,SO2,6,27,9
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",29-04-2024 04:00:00,26.987634,94.636574,CO,12,20,15
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",29-04-2024 04:00:00,26.146529,87.454184,NH3,6,8,7
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.251013,86.989001,SO2,16,17,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.251013,86.989001,OZONE,43,52,47
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.265194,87.012947,PM2.5,65,220,97
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.265194,87.012947,NO2,2,11,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.265194,87.012947,SO2,11,12,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29-04-2024 04:00:00,25.265194,87.012947,CO,8,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB (Formerly known as Central Jail)",29-04-2024 04:00:00,25.567520,83.966379,OZONE,25,178,66
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",29-04-2024 04:00:00,25.7808257,84.7446768,PM2.5,55,160,113
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",29-04-2024 04:00:00,25.7808257,84.7446768,NH3,7,16,10
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",29-04-2024 04:00:00,25.7808257,84.7446768,SO2,2,26,11
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-04-2024 04:00:00,24.762518,84.982348,OZONE,3,83,32
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-04-2024 04:00:00,25.697189,85.245900,PM2.5,54,96,80
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-04-2024 04:00:00,25.697189,85.245900,CO,18,47,33
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",29-04-2024 04:00:00,25.560083,87.553265,NH3,3,11,7
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",29-04-2024 04:00:00,25.560083,87.553265,SO2,17,22,20
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",29-04-2024 04:00:00,26.0881305,87.93840336,SO2,NA,NA,NA
