country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-05-2024 13:00:00,14.675886,77.593027,PM2.5,22,53,34
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",13-05-2024 13:00:00,14.675886,77.593027,PM10,31,84,59
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",13-05-2024 13:00:00,13.204880,79.097889,SO2,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",13-05-2024 13:00:00,14.465052,78.824187,PM10,1,118,10
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",13-05-2024 13:00:00,16.9872867,81.7363176,NH3,2,4,2
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",13-05-2024 13:00:00,16.9872867,81.7363176,SO2,12,13,12
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",13-05-2024 13:00:00,16.9872867,81.7363176,CO,19,38,25
India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",13-05-2024 13:00:00,13.67,79.35,PM2.5,5,54,24
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",13-05-2024 13:00:00,13.615387,79.409230,PM2.5,13,302,54
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",13-05-2024 13:00:00,27.103358,93.679645,PM2.5,1,45,21
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",13-05-2024 13:00:00,27.103358,93.679645,SO2,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",13-05-2024 13:00:00,26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",13-05-2024 13:00:00,26.071318,91.87488,NH3,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",13-05-2024 13:00:00,26.10887,91.589544,NH3,1,6,2
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",13-05-2024 13:00:00,26.181742,91.78063,PM10,49,193,103
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",13-05-2024 13:00:00,26.349082,92.68449,NH3,2,7,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",13-05-2024 13:00:00,26.349082,92.68449,OZONE,4,101,62
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",13-05-2024 13:00:00,26.446912,91.439057,NH3,1,1,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",13-05-2024 13:00:00,26.446912,91.439057,OZONE,9,16,12
India,Assam,Silchar,"Tarapur, Silchar - PCBA",13-05-2024 13:00:00,24.82827,92.79525,CO,24,32,26
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",13-05-2024 13:00:00,26.987634,94.636574,CO,23,32,25
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",13-05-2024 13:00:00,24.75746,84.366208,SO2,17,23,20
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",13-05-2024 13:00:00,24.75746,84.366208,OZONE,15,152,152
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",13-05-2024 13:00:00,26.80365,84.51954,NH3,3,7,5
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",13-05-2024 13:00:00,25.251013,86.989001,PM2.5,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",13-05-2024 13:00:00,25.251013,86.989001,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",13-05-2024 13:00:00,25.265194,87.012947,PM2.5,48,130,90
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",13-05-2024 13:00:00,25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",13-05-2024 13:00:00,25.7808257,84.7446768,NO2,14,25,17
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",13-05-2024 13:00:00,25.7808257,84.7446768,NH3,7,16,10
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",13-05-2024 13:00:00,25.7808257,84.7446768,OZONE,1,11,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",13-05-2024 13:00:00,24.7955,84.9994,OZONE,56,69,64
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",13-05-2024 13:00:00,24.792403,84.992416,PM2.5,NA,NA,NA
