country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",21-04-2024 20:00:00,16.5150833,80.5181667,SO2,10,14,13
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-04-2024 20:00:00,16.9872867,81.7363176,PM2.5,5,40,22
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-04-2024 20:00:00,16.9872867,81.7363176,NH3,2,3,3
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",21-04-2024 20:00:00,16.9872867,81.7363176,CO,20,38,29
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",21-04-2024 20:00:00,16.536107,80.594233,OZONE,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-04-2024 20:00:00,17.72,83.3,PM2.5,20,92,48
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-04-2024 20:00:00,17.72,83.3,NH3,3,6,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",21-04-2024 20:00:00,17.72,83.3,SO2,7,16,13
India,Assam,Guwahati,"IITG, Guwahati - PCBA",21-04-2024 20:00:00,26.2028636,91.70046436,PM2.5,22,57,42
India,Assam,Guwahati,"IITG, Guwahati - PCBA",21-04-2024 20:00:00,26.2028636,91.70046436,OZONE,4,36,17
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-04-2024 20:00:00,26.10887,91.589544,PM2.5,25,98,48
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-04-2024 20:00:00,26.10887,91.589544,NH3,2,10,6
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",21-04-2024 20:00:00,26.10887,91.589544,CO,36,60,50
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",21-04-2024 20:00:00,26.181742,91.78063,PM10,NA,NA,NA
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",21-04-2024 20:00:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",21-04-2024 20:00:00,26.349082,92.68449,SO2,NA,NA,NA
