country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Bawana, Delhi - DPCC",06-01-2024 02:00:00,28.776200,77.051074,CO,46,77,61
India,Delhi,Delhi,"DTU, Delhi - CPCB",06-01-2024 02:00:00,28.7500499,77.1112615,PM2.5,57,197,114
India,Delhi,Delhi,"DTU, Delhi - CPCB",06-01-2024 02:00:00,28.7500499,77.1112615,PM10,134,335,211
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",06-01-2024 02:00:00,28.498571,77.264840,NO2,37,110,67
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",06-01-2024 02:00:00,28.498571,77.264840,OZONE,1,37,1
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",06-01-2024 02:00:00,28.5710274,77.0719006,OZONE,7,24,13
India,Delhi,Delhi,"ITO, Delhi - CPCB",06-01-2024 02:00:00,28.628624,77.241060,PM2.5,118,329,253
India,Delhi,Delhi,"ITO, Delhi - CPCB",06-01-2024 02:00:00,28.628624,77.241060,NO2,12,34,22
India,Delhi,Delhi,"ITO, Delhi - CPCB",06-01-2024 02:00:00,28.628624,77.241060,CO,24,101,46
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-01-2024 02:00:00,28.732820,77.170633,PM2.5,216,419,345
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-01-2024 02:00:00,28.732820,77.170633,NH3,9,13,10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-01-2024 02:00:00,28.580280,77.233829,PM2.5,291,401,330
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-01-2024 02:00:00,28.580280,77.233829,OZONE,1,17,7
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",06-01-2024 02:00:00,28.5918245,77.2273074,CO,68,100,89
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",06-01-2024 02:00:00,28.611281,77.237738,NH3,13,15,14
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",06-01-2024 02:00:00,28.611281,77.237738,CO,62,106,81
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",06-01-2024 02:00:00,28.611281,77.237738,OZONE,1,6,2
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",06-01-2024 02:00:00,28.636429,77.201067,SO2,2,4,3
India,Delhi,Delhi,"Mundka, Delhi - DPCC",06-01-2024 02:00:00,28.684678,77.076574,PM2.5,232,366,323
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",06-01-2024 02:00:00,28.60909,77.0325413,CO,17,179,88
India,Delhi,Delhi,"Narela, Delhi - DPCC",06-01-2024 02:00:00,28.822836,77.101981,NH3,2,14,9
India,Delhi,Delhi,"Narela, Delhi - DPCC",06-01-2024 02:00:00,28.822836,77.101981,SO2,2,9,4
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",06-01-2024 02:00:00,28.567890,77.250515,PM2.5,318,443,373
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",06-01-2024 02:00:00,28.6573814,77.1585447,OZONE,20,23,20
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",06-01-2024 02:00:00,28.530785,77.271255,PM10,167,415,257
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",06-01-2024 02:00:00,28.623763,77.287209,PM2.5,283,454,345
India,Delhi,Delhi,"Pusa, Delhi - IMD",06-01-2024 02:00:00,28.636110,77.173332,CO,44,104,73
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",06-01-2024 02:00:00,28.563262,77.186937,PM10,179,432,268
India,Delhi,Delhi,"Rohini, Delhi - DPCC",06-01-2024 02:00:00,28.732528,77.119920,NH3,9,13,11
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",06-01-2024 02:00:00,28.5504249,77.2159377,PM10,174,421,251
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",06-01-2024 02:00:00,28.5504249,77.2159377,NH3,3,9,6
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",06-01-2024 02:00:00,28.710508,77.249485,PM10,140,317,203
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",06-01-2024 02:00:00,28.710508,77.249485,CO,61,98,70
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",06-01-2024 02:00:00,28.710508,77.249485,OZONE,4,21,16
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",06-01-2024 02:00:00,28.531346,77.190156,NO2,27,109,63
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",06-01-2024 02:00:00,28.531346,77.190156,OZONE,2,10,3
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",06-01-2024 02:00:00,28.672342,77.315260,NH3,7,12,10
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",06-01-2024 02:00:00,28.699793,77.165453,OZONE,5,6,5
